HEALTH ANALYTICS DASHBOARD,,,,,,,,,,,,,,,,Compulsion Type,Patient_count,Avg_obs_score,,,,,Ethnicity,Patient_count,Avg_obs_score,,month,Patient_count
,,,,,,,,,,,,,,,,Ordering,285,20.23,,,,,African,324,19.7593,,2013/11/01 0:00,9
Diagnosis MoM,,,,,,,,,,,,,,,,Praying,286,20.73,,,,,Asian,386,20.3161,,2013/12/01 0:00,9
,,,,,,,,,,,,,,,,Checking,292,17.92,,,,,Hispanic,392,20.2832,,2014/01/01 0:00,13
,,,,,,,,,,,,,,,,Counting,316,19.66,,,,,Caucasian,398,19.7915,,2014/02/01 0:00,13
,,,,,,,,,,,,,,,,Washing,321,19.63,,,,,,,,,2014/03/01 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/04/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/05/01 0:00,11
,,,,,,,,,,,,,,,,Gender,Patient_count,Avg_obs_score,,,,,,,,,2014/06/01 0:00,9
,,,,,,,,,,,,,,,,Female,747,20.2,,,,,,,,,2014/07/01 0:00,11
,,,,,,,,,,,,,,,,Male,753,19.9,,,,,,,,,2014/08/01 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/10/01 0:00,19
,,,,,,,,,,,,,,,,Obsession Type,Patient_count,Avg_obs_score,,,,,,,,,2014/11/01 0:00,18
,,,,,,,,,,,,,,,,Hoarding,278,21.01,,,,,,,,,2014/12/01 0:00,14
,,,,,,,,,,,,,,,,Symmetry,280,19.67,,,,,,,,,2015/01/01 0:00,16
Compulsion Type,,,,,,,Ethnicity,,,,,,,,,Religious,303,19.23,,,,,,,,,2015/02/01 0:00,10
,,,,,,,,,,,,,,,,Contamination,306,19.67,,,,,,,,,2015/03/01 0:00,12
,,,,,,,,,,,,,,,,Harm-related,333,20.65,,,,,,,,,2015/04/01 0:00,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/05/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/06/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/08/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/09/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/01 0:00,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/11/01 0:00,20
Obsession Type,,,,,,,Gender,,,,,,,,,,,,,,,,,,,,2015/12/01 0:00,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/01/01 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/02/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/03/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/04/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/05/01 0:00,7
,,,,,,,,,,,,,,,,,,,,,,,,,2016/06/01 0:00,15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/07/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/08/01 0:00,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/09/01 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/01 0:00,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/11/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/12/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/01/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/02/01 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/03/01 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/04/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/05/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/06/01 0:00,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/07/01 0:00,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/08/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/09/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/11/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/12/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/01/01 0:00,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/02/01 0:00,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/03/01 0:00,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/04/01 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/05/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/06/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/07/01 0:00,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/08/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/09/01 0:00,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/10/01 0:00,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/11/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/12/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/01/01 0:00,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/02/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/03/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/04/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/05/01 0:00,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/06/01 0:00,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/07/01 0:00,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/08/01 0:00,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/09/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/11/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/01/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/02/01 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/03/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/04/01 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/05/01 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/06/01 0:00,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/07/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/08/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/09/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/10/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/11/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/12/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/01/01 0:00,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/02/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/03/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/01 0:00,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/05/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/06/01 0:00,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/07/01 0:00,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/08/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/09/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/10/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/11/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/12/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/01/01 0:00,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/02/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/03/01 0:00,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/04/01 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/05/01 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/06/01 0:00,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/07/01 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/08/01 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/09/01 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/10/01 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/11/01 0:00,2
